PartnerID,NationalIDNumber,LoginID,OrganizationLevel,FirstName,MiddleName,LastName,Suffix,JobTitle,BonusMonth,WeekOffDay,PhoneNumber,PhoneNumberType,EmailAddress,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,PAN,UIDAI,SSN,CountryRegionName,BirthDate,Age,MaritalStatus,Gender,HireDate,RetirementYear,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate,ProefficientLanguage,LicenseNumber,PassportNumber,BonusMonth_1,Ethenicity,PercentageLeaveLeft,QuarterVaccationHours,FullName,BloodGroup,Department,BirthDate1,WeekOffDay1,PAN1,UIDAI1,LicenseNumber1,PassportNumber1
1.0,295847284,adventure-works\ken0,,Ken,J,Sanchez,,Chief Executive Officer,1$,abc,697/555-0142,Cell,ken0*adventure-works.com,435@ 0 Min ()ute Dr.$$,,Newport Hil&ls,Was %%%hington,_____slkx98006,B ^%A JPC4350M&,9876zxcv5679,33 ^^^^djdsbjvz2070717,United States,1/29/1969,10,S,MA& LE,1/14/2009,#VALUE!,TRUE,99,6fffff9,True,{F01251E5-96A3-448D-981E-0F99D789110D},6/30/2014 0:00,Spanish,hr06 201278904567,A0296457,Ja (nua ry,Poli *&sh,45,12.45 &^%$,Rob 17Watt,A+,floor,5/31/1991,abc,AGPCB3705U,9876zxcv5679,hr06 201278904567,A1045608
2.0,245797967,adventure-works\terri0,),Terri,Lee,Du1ffy,,Vice President of Engineering,3 nd ),Tuesday *****2,819-555*0175,Work,terri0@adventure-works.com,7 sh^559 Worth32 %%% Cft.,,ReÉnton,____W ashingt 83onÉ,postal---98055,"D)(,AJ %PC4150P",7865ghjk8900,51 1***)dja25621009878,,1/1/2030,90,Male,F2,1/31/2008,#VALUE!,YES,1,"2 ""0",True,{45E8F437-670D-4409-93CB-F9424A40D6EE},6/30/2014 0:00,English,HR06 19$ 4556251467,A209645704,Feb %%,Indo )(Aryan,200,1mc(3.08,Pe46 ter Parker,B+,local,6/15/1989,Tuesday *****2,"D)(,AJ %PC4150P",7865ghjk8900,AP45 19562435673,A1045608
3.0,509647174,adventure-works\roberto0,(,Roberto,,Tamburello,,Engineering Manager,4t h,Wednesday -----3,212-555--0187,Cell,roberto0@adventure-works.com,2137 Bir *(chwo ()od D@#r,,Redmo nd___,"()274Washington""""""""",ahd)))98052,XG ZF@E 722%5A,1234abcd4567,PPP)(51125621009878,,2/3/2030,88,Female,M1,11/11/2007,#VALUE!,NOPE,2,21_____,True,{9BBBFB2C-EFBB-4217-9AB7-F97689328841},6/30/2014 0:00,Hindi,UP78 2012%784526%,12096457,Mar !!! ch,Al&% bani)(an,dv45,4.7js 2&,B obM5arley,A-,vending,1/4/1991,Wednesday,XG ZF@E 722%5A,9826 6359 8852,AP45 19562435673,12096457
4.0,112457891,adventure-works\rob0,*,Rob,,Walt6ers,,Senior Tool Designer,11 %th,Thursday 7329+,612-555 0100,Cell,rob0@adventure-works,5 6 ^%78 Lak &eview Blv {}d.,,Mi []?nn 373eapolis,Mi ###@Énnesota,"55402""""""",C$$ !!TUG E1616I,9876zxcv5678,51125621 ____dusjf009878,,2/4/2030,78,Male,M<,12/5/2007,#VALUE!,NO,48,80hrs,True,{59747955-87B8-443F-8ED4-F8AD3AFDF3A9},6/30/2014 0:00,Polish,AP45-300057315627,A209645704,ap #@r,W hi&5te,xa^)12,8dajds,Step45hen Hawking,B-,intern,6/25/1989,Thursday 7329+,BXOTB9065C,3052 7875 6145,AP45 19562435673,A1045608
5.0,695256908,adventure-works\gail0,&,Gail,A,Erick%son,,Design Engineer,3r Àd,,849-55500139,Cell,gail0/adventure-works.com,9 435 Bre &*ck Cour &#t,,B45el *()le vueÉ,Wa ::_=shington,(+98004),,9876tyui9000,"51 """"""""125621009878",,2/5/2030,9,Female,fem :::ale,1/6/2008,#VALUE!,TRUE,5,2 2mins,True,{EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08},6/30/2014 0:00,Ru $$sssian,SP12 20084567289,V67 16380,ma%y$,As&^ian,3 ^&6 fs,,Ma noj263 Bajpayee,AB+,floor,2/15/1989,,,3076 6146 3849,SP12 20084567289,V67 16380
6.0,998320692,adventure-works\jossef0,^,Jossef,H,Goldberg,,Design Engineer,12t )(h,Satur,122-55599189,Work,jossef0@adventure-works.com,5670 B^&%@ el Ai>< r Dr.,,R3e nt on{}?><,Was 89hi>>>><<$ngton,98055doxck,B A123&&!!!@45 6ÓM0,7865ghjk8900,5112++++^^^ajm5621009878,,2/6/2030,98,Male,M688,1/24/2008,#VALUE!,TRUE,6,23s ecs,True,{E39056F1-9CD5-478D-8945-14ACA7FBDCDD},6/30/2014 0:00,english,UK06 20203718496,V92 & 32807,j u ___ne,,800,,Al 4exandra C90lave,AB-,local,1/8/1989,Satur,AGPCB3705U,4718 7188 2819,UK06 20203718496,A1045608
7.0,134969118,adventure-works\dylan0,%,Dylan,A,Miller,,Research and Development Manager,1 m>,Sunda y,181-555>0156,Work,dylan0@adventure-works,7048 L^a%^ ur &?~! el,,K en (*&more,W :()))a shington,98 ldazj! 028,"DA ?""{}JP 12Ó22 ?22",1234ghjk7890,PO ()380984578,,,99,Female,M111,2/8/2009,#VALUE!,TRUE,61,50É,True,{4F46DECA-EF01-41FD-9829-0ADAB368E431},6/30/2014 0:00,African,Hp45 198625471895,K $@76 09069,ju %!>l,Uzb __ek,2 0,,P 78riya Nutan,O+,vending,4/15/1989,Sunda y,"DA ?""{}JP 12Ó22 ?22",5177 5394 4789,Hp45 198625471895,A1045608
8.0,811994146,adventure-works\diane1,!,Diane,L,Margheim,,Research and Development Engineer,5RT&,Sun,815<555-0138,Cell,diane1@adventure-works.com,475 Sa nt #@a Mar (ia,,Evere t####?t,Washington,"98vsxj""201",XGZ 4@!][5D2Ó134,123@#4567nn,135 ???64 9870,edf456,,100,Male,FE ()MME,12/29/2008,#VALUE!,TRUE,62,p ++++51,True,{31112635-663B-4018-B4A2-A685C0BF48A4},6/30/2014 0:00,P &olish,HR06 19$ 4556251467,L12 290RT 74,a^ug(ust,Portugue )(&se,8 *& 0,,Rob 17Watt,A+,intern,6/25/1989,Sun,XG ZF@E 722%5A,3811 0238 6944,AP45 19562435673,L12 290RT 74
9.0,658797903,adventure-works\gigi0,@,Gigi,N,Matt/hew,,Research and Development Engineer,9:done,abc,185-555\0186,Cell,gigi0@adventure-works.com,5670 B^&%@ el Ai>< r Dr.,,Be////|\llevue,W>>>>><<<++!ashington,"98a 0 ""@04",BA */'\123Ó45 6M1,1234abcd4568,55?335MK8105,uyhgtyu,2/9/2030,96,Female,F()(),1/16/2009,#VALUE!,TRUE,63,x+51hrs,True,{50B6CDC6-7570-47EF-9570-48A64B5F2ECF},6/30/2014 0:00,C #hine $SE,hr06 201278904567,A10 V37908,sep ][,"A >?""rab",1+_2,1mc(3.08,Pe46 ter Parker,A+,floor,3/28/1989,abc,BA */'\123Ó45 6M1,3750 8430 7653,hr06 201278904567,A10 V37908
10.0,879342154,adventure-works\michael6,$,Michael,,Rah#eem,,Research and Development Manager,10>mo nthÀ,,330-555|2568,Work,michael6@adventure-works.com,7048 L^a%^ ur &?~! el,,Sa n F 089rancÉisco|||||,"C ,,,@!alifornia",_ __94109,,9876zxcv5679,É434044954,dsfgt,,106,Male,....23M,5/3/2009,#VALUE!,TRUE,16,>>> 6 4,True,{EAA43680-5571-40CB-AB1A-3BF68F04459E},6/30/2014 0:00,Japanese,HR06 19$ 4556251467,A0296457,october*****,,355,4.7js 2&,B obM5arley,B+,local,2/5/1989,,,4755 8766 9949,AP45 19562435673,A1045608
