Unnamed: 0,GeographyKey,CustomerPassword,CustomerAlternateKey,Title,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Gender,Suffix,Mobile,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,City,StateProvinceName,CountryRegion,ZipCode,EnglishEducation,EnglishOccupation,SpanishOccupation,FrenchOccupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance,ProductColour,CountryCode,Review,CreditCardNumber,Description,ReferralIP,ReferralURL,Memberships,Memberships1,Address1,ProductColour1,HouseOwnerFlag1,Mobile1,BirthDate1,MaritalStatus1,BirthDate2,id,Phone No,is_valid
16444,26,,A3W00011000,D$ octor,आर्या,V,Yang,0,10/6 &&&/2971,mrried,Male,,9995348701.0,jon2_____4@adven67ture-works.com,"900,000,001$",2%g,0,Newport Hills,Washington,India745_,98006,,Professional,Profesional,Cadre,1,0zero,3761N14thStajdadjnxnseq12dsbvfjuajdmtkgn16394fjs,,208-555-01+4h2,1/19%%%/2011,1-2 Miles,blu,93#,shit,4129 5189 7661 5780 7689,made in ?? China,198.20. $0.%0,htt ps :// www .amazon.com,5.0,5.0,6827 Seagull Court,Purple,1.0,9994972213.0,10/6 &&&/2971,Married,2/1/1975,1.0,4059591129,True
13132,37,,"A#W000,11, 001",### 78Engineer,Eugene,L,Huang,0,55/1()0/1976,single,Female,,101000000000.0,eugene10@@@adventure-works,900000002,3b,3,Renton,Washington,#NAME?,__kan__98055,,Professional,Profesional,Cadre,0,on e1,2243WStEmsh123zjndkqeajcdbqjaejncmb37andg,,1 (11_) 500 5fb *55-01QE10,1/! pc15/2011,0-1 Miles,yel,355$,bloody,248@3 879*7 6809 7817,,198. ><20#.0.1,htt Àps://w ww.flip kart.com,6.0,5.0,8877 Weatherly Drive,black,0.0,9995783751.0,55/1()0/1976,Single,2/2/1975,2.0,4059591129,True
16385,31,,FM 000 11002,()<> Doc tor,Ruben,,Torres,0,2th/9/1971,m,Male,,2200998877.0,ruben35É@adventure-works,900000003,3g,3,Redmond,Washington,Po 79_)land,98 +_052,,Professional,Profesional,Cadre,1,1,ABCDLane100050ajdn262jsmvnalglbmgiwzmbvqlo,,208-555-01+4h2,: ::v *1/7/2011,2-5 Miles,Purple,2 13,freaky,2// 318 5813 3090 1499,delivered from Àndhra Pradesh,198.2^*0.0.2ab,htt ps: //www. access.com,10.0,5.0,6898 Holiday Hills,Purple,1.0,9992257376.0,2th/9/1971,Single,2/3/1975,3.0,4059591129,True
15310,11,,powAW:000:11003,37 Engineer,Christy,,Zhu,0,8/14 ++++/1973,s,Female,,3300998899.0,chri sty12@adven ture-works,900000004,0pr$,0,Raymond,Minnie,Qata?' r+,"9-8-0-52""""""",,Professional,Profesional,Cadre,0,1É,ABCDLane100051anbc1739cbstkyoa749602chfkabak1249dnjcnxcx,,1 (1:1) 500 555-0195KL+_,LLLL***12/29/2010,5-10 Miles,gre en,1-68){4,bugger,4989 57892 27530 7331,brand by ?onte Carlo,198.20.0.3!@,%%%%http s://www.easymoney.in,6.0,5.0,8356 Mori Court,black,0.0,9998579107.0,8/14 ++++/1973,S(),2/4/1975,4.0,4059591129,True
16266,19,,123AW/00011004,Doc ()tor,Eugene,,Johnson,0,8/5/19 <>79,,Female,,1122334455.0,elizabe th É6695@advent ure-works,900000005,!5,5,Raymond,WashngTonnie,Be :&%larus1,9-8-0-53Ap,,Professional,Profesional,Cadre,1,4___only,ABCDLane100052zdjakcbv1623848dskbbdsjhv2749753kjsjbskjkancc12873nlsajfvf138,,1 (+11) 5 aus00 555-0137,1/2*@@@!3/201 1,1-2 Miles,b lack,3^7 6,bastard,,originals ©,1 (*&fsk98.2 aHDbn0.0.4,ht!!!! tps://www.go zoom.com,7.0,5.0,9452 Mariposa Ct.,Purple,1.0,9994415146.0,8/5/19 <>79,,2/5/1975,5.0,4059591129,True
16004,22,,"A///?W,00011005",E ngin eer,आर्या,,Ruiz,0,1976,smd,Female,,2233445511.0,________julio1@adventure,"900,000,006$",0*,0,Raymond,Minnie,"Zi ""{}mbabwe",9-8 -0-5 4À,,Professional,Profesional,Cadre,1,1@sedan,ABCDLane100053sdmj3938vhaflkjgr3749878safhdofha53q9757kjdckERIAU,,,P1 2/30/2010,5-10 Miles,White,24 4_,bitch,224%6 4245 4151 4172_,A source of trust company ®,1 9 sj8.*20.0.5@,http s: //www.l ombard.com,9.0,5.0,6827 Seagull Court,black,1.0,9990038049.0,1/30/1986,SMD,2/1/1975,6.0,4059591129,True
19929,8,,WW@W00011006,Doc277328:::+++tor,आर्या,G,Alvarez,0,,,Female,,9990327669.0,"""""""""""""""""""janet9@adventure-",900000007,0 #,0,Raymond,WashngTonnie,Rus 420sia!!!!!,9-8-0-5 5mk,,Professional,Profesional,Cadre,1,1:::::,ABCDLane100054ehai39837fufqudsl59743rlkdsja2387dsfs97rwanrefsaiywbri,,2 (mid11) 500 555-01m 95É,1/24/201 1,5-10 Miles,brow,1-2<64&&&,doughhead,26 ()60 7051 2973 103 1,temperature range: 20° to 100° C,198.20.0.CDCJ6^^,h ttps://ww w.hndk.co m,8.0,5.0,8877 Weatherly Drive,Purple,1.0,9994462464.0,,,2/2/1975,7.0,4059591129,True
11364,40,,A3W00011000,Engineer$@1,Marco,,Mehta,0,11/ \\\6/1969,m,Male,,9993094980.0,6@ ma Érco14@adventure-works.,900000008,3 h,3,Raymond,Minnie,U kr aine,9-8- 0- LO56,,Professional,Profesional,Cadre,1,polov < 2,ABCDLane100055dshgewuwakudjfvzkufsvgrwakurelkyrmtejisavjivioislwa473jf,,2 ( ben11) 500 5 É55-0137,1/%É9/2011,0-1 Miles,lim e,6<72:::::,hoser,466HHR1 7588 7755 4134,Dimentions: 20cm x 10cm x 5µ,198.20.0.7*&,? htt ps://www.amazon.com,12.0,5.0,6898 Holiday Hills,black,1.0,9992979511.0,11/ \\\6/1969,M****,2/3/1975,8.0,2393356755,True
16512,32,,"A#W000,11, 001",Doctor!!!,Ruben,,Verhoff,0,,,Female,,9998434607.0,"Ér ""ob4@adven ture-works",900000009,4^,4,Raymond,Minnie,Austral 9ÉÉia,9-###8-0-57,,Professional,Profesional,Cadre,1,LL LL@3,3762N14thStajdadjnxnseq12dsbvfjuajdmtkgn16394fjs,,208-55 É5-01 ldo44,1/25/2011:PÉ,10+ Miles,pin,1-26 $#4,skeet,0,Dimentions: 6 x 5 x 7¼ m,198.2 ka0.+0.8,https://www.fl ipkart.c ? om,13.0,5.0,8356 Mori Court,black,1.0,9994222275.0,,,2/4/1975,9.0,2393356755,True
15949,25,,FM 000 11002,"En :""}+gineer",,C,Carlson,0,9/29/196chzd9,s,Female,,9995380017.0,!!!!!!!!!!!!!!s hannon38@advent Éure,900000010,0(,0,Raymond,WashngTonnie,I ::::::ndonasia,9-8-0-58###########,,Professional,Profesional,Cadre,0,1________,2244WStEmsh123zjndkqeajcdbqjaejncmb37andg,,3 (11 mas) 500 555-01 lko95,N1/27/2011,5-10 Miles,magen,672)*,drongo,@!4062 9{] 745 5032 3615,Dimensions: 7x 4¾ x9 m,198.2+0.+0.+9,htt ps :// www .amazon.com,14.0,5.0,9452 Mariposa Ct.,Purple,0.0,9990205578.0,1/30/1986,28 !~?S,2/5/1975,10.0,2393356755,True
17255,22,,powAW:000:11003,mr:),आर्या,C,Suarez,0,8/5 :{*(#$/1969,sm,Others,1.333,9992791240.0,<>jacquelyn20@adventure-works,"900,000,011$",0___,0,Raymond,Minnie,Chin a628,9-8-0-59 ?,Bach@#elors,Professional,Profesional,Cadre,0,____ Éyfjkj_______1,ABCDLane100050ajdn262jsmvnalglbmgiwzmbvqlo,,3 (1?1) 5 00 55 É5-0137,1/ É&^14/2011,5-10 Miles,r ed,1-268}_,shithead,4555 9 mko705 4983 3015,resistance: 30?,198.20.0.1RU0,htt Àps://w ww.flip kart.com,12.0,5.0,6827 Seagull Court,black,0.0,9994972213.0,8/5 :{*(#$/1969,SM,2/1/1975,11.0,2393356755,True
11618,22,,powAW:000:11003,Mr. 5%,Christy,,Lu,0,5 :::::/3/1969,m,Any,17.345,9996688959.0,12>curtis9@adventure-works.com,900000012,477,4,Raymond,WashngTonnie,J {}}{}{83apan,9- 8 ÀBOP -0-60,Bachelors[],Professional,Profesional,Cadre,1,4fo ur&,,,208-5 ///55-0145ljhjchfc,12/30/><2010,10+ Miles,oran,!!!54,shit,4977 5570 04 098 hdc 15 5495,A source of trust company ®,198.20.%0.%1%1,htt ps: //www. access.com,6.0,5.0,8877 Weatherly Drive,Purple,1.0,9995783751.0,5 :::::/3/1969,Married,2/2/1975,12.0,2393356755,True
13557,611,,123AW/00011004,M &&&s. ),Lauren,M,Walker,0,"1/14/ 1////,@@@@979",m,Any,345.88,9996006102.0,<lauren41@adventure-works.com,900000013,2^,0,Raymond,Washington,Mala !!!@ysia,<9-8-0-61>?,Bach()elors,Management,Gestión,Direction,1,2nd,ABCDLane100052zdjakcbv1623848dskbbdsjhv2749753kjsjbskjkancc12873nlsajfvf139,,208-555-01+4h2,3 LLLifdn /16/2013,1-2 Miles,b lu,3%74,bloody,26OP trdx 4564 24 9705 2572 6523,temperature range: 20° to 100° C,"19""8.20.0.<1>2",%%%%http s://www.easymoney.in,7.0,5.0,6898 Holiday Hills,black,1.0,9992257376.0,1/30/1986,Single,2/3/1975,13.0,2393356755,True
12135,543,,"A///?W,00011005",Ms. #,Ian,M,Jenkins,0,8/ 3/19???79,m,Any,457.9,9995510068.0,ian47@adventure-works.com,900000014,2pt,0,Raymond,Washington,Argentina27818_,98006,Bachelors$,Management,Gestión,Direction,1,3rdOP^,ABCDLane100053sdmj3938vhaflkjgr3749878safhdofha53q9757kjdckERIAU,,1 (11_) 500 5fb *55-01QE10,4/13/20 13,0-1 Miles,gr ee,29?7,freaky,4130 5189 7661 5780 7689,Dimentions: 20cm x 10cm x 5µ,198.2sKJv0.0.13&,ht!!!! tps://www.go zoom.com,9.0,5.0,8356 Mori Court,black,1.0,9998579107.0,8/ 3/19???79,M>\}},2/4/1975,14.0,2393356755,True
17076,634,,WW@W00011006,6^ Ms.,,,Bennett,0,11/6/1973ahdzbz{{,,Any,323.0,9991250310.0,sydney23@adventure-works.com,900000015,3 LP,0,Raymond,Washington,N Éo )(rway,__kan__98056,Bach#$elors,Management,Gestión,Direction,0,3 < <<,ABCDLane100054ehai39837fufqudsl59743rlkdsja2387dsfs97rwanrefsaiywbri,,208-555-01+4h2,3 NN&&&/23/2013,1-2 Miles,black,6 *1,bugger,248@3 879*7 6809 7818,Dimentions: 6 x 5 x 7¼ m,198. dc2$0.0.14,http s: //www.l ombard.com,10.0,5.0,9452 Mariposa Ct.,Purple,0.0,9994415146.0,11/6/1973ahdzbz{{,,2/5/1975,15.0,2393356755,True
16633,301,,A3W00011000,"Mr. "":0",Christy,,Young,0,,s,Mail,4567.0,9994249032.0,chloe23@adventure-works.com,"900,000,016$",0___ O0,0,Raymond,Washing ton,German ><y,99 +_052,Partial 666College,Skilled Manual,Obrero especializado,Technicien,0,1on @,ABCDLane100055dshgewuwakudjfvzkufsvgrwakurelkyrmtejisavjivioislwa473jf,,1 (1:1) 500 555-0195KL+_,1/19%%%/2012,5-10 Miles,li me,"4""3",bastard,2// 318 5813 3090 1500,Dimensions: 7x 4¾ x9 m,1dzj^98.2 & 0.0.15,h ttps://ww w.hndk.co m,13.0,5.0,6827 Seagull Court,Purple,0.0,9990038049.0,,S\\/?\,2/1/1975,16.0,2393356755,True
12491,329,,AWDATA,<> Ms.,Wyatt123,L,Hill,0,10/25/1984MMMMM,m,Fe Mail,656.0,9990445483.0,wyatt32@adventure-works.com ,900000017,0{},0,Raymond,Washing ton,"Fra""}{\\\\\nce","9-8-0-52""""""",Partial Col$6lege,Skilled Manual,Obrero especializado,Technicien,1,0zero,3763N14thStajdadjnxnseq12dsbvfjuajdmtkgn16394fjs,,1 (11_) 500 5fb *55-01QE10,1/! pc15/2012,5-10 Miles,r ed,99 @4,bitch,,,198.20.0.1jka6,? htt ps://www.amazon.com,8.0,5.0,8877 Weatherly Drive,BLACK,1.0,9994462464.0,10/25/1984MMMMM,>34>> M,2/2/1975,17.0,2393356755,True
11993,39,,999999999,É Mr. ??É,,,Wang,0,12/24th::::/1949,,Fe male,55.89,9997052980.0,shannon1@adventure-works.com,900000018,> <4,0,Raymond,Washing ton,India745_,9-8-0-53Ap,High Sc--0hool,Skilled Manual,Obrero especializado,Technicien,1,on e2,2245WStEmsh123zjndkqeajcdbqjaejncmb37andg,,208-555-01+4h2,: ::v *1/7/2012,5-10 Miles,ye ll ow,1 -=242,doughhead,437(1 8$882 7213 417^94,Dimensions: 7x 4¾ x9 m,19#8.20.0.17,https://www.fl ipkart.c ? om,6.0,5.0,6898 Holiday Hills,Purple,1.0,9992979511.0,12/24th::::/1949,,2/3/1975,18.0,2393356755,True
12869,32,,ABCDEF,Mrs. ?%%,Christy,D,Rai,0,1955,s,Femail,45.9,9991493972.0,clarence32@adventure-works.com ,900000019,2$,0,Raymond,Washing ton,#NAME?,9-8 -0-5 4À,Partial C#^ollege,Clerical,Administrativo,Employé,1,0zero,ABCDLane100050ajdn262jsmvnalglbmgiwzmbvqlo,,1 (1:1) 500 555-0195KL+_,LLLL***12/29/2011,5-10 Miles,ora ng,9+7 3,hoser,224%6 4245 4151 4172_,resistance: 30?,198.20.0.1)(8,htt ps :// www .amazon.com,5.0,5.0,8356 Mori Court,BLACK,1.0,9994222275.0,1/30/1986,"S""""""""""""""""""""3727",2/4/1975,19.0,2393356755,True
12950,52,,AWOOOOO,....___ Mr.,Lauren,L,Lal,0,10/6 &&&/2972,,Mail,545.7,9992566156.0,luke18@adventure-works.com,900000020,0:00,0,Raymond,Washing ton,Po 79_)land,9-8-0-5 5mk,High Sch*88ool,Skilled Manual,Obrero especializado,Technicien,0,on e2,ABCDLane100051anbc1739cbstkyoa749602chfkabak1249dnjcnxcx,,1 (+11) 5 aus00 555-0137,1/2*@@@!3/201 2,5-10 Miles,blu,88/0,skeet,27 ()60 7051 2973 103 1,A source of trust company ®,198.20. $0.%1,htt Àps://w ww.flip kart.com,6.0,5.0,9452 Mariposa Ct.,Purple,0.0,9990205578.0,10/6 &&&/2972,,2/5/1975,20.0,2393356755,True
16697,53,,11021,M 73{}r.,आर्या,C,King,0,55/1()0/1977,mrried,Female,,9993058962.0,jordan73@adventure-works.com,"900,000,021$","0""",0,Raymond,,Qata?' r+,9-8- 0- LO57,High School,Skilled Manual,Obrero especializado,Technicien,0,2,ABCDLane100052zdjakcbv1623848dskbbdsjhv2749753kjsjbskjkancc12873nlsajfvf140,,,P1 2/30/2011,1-2 Miles,yel,93#,drongo,466HHR1 7588 7755 4135,temperature range: 20° to 100° C,198. ><20#.0.2,htt ps: //www. access.com,10.0,5.0,6828 Seagull Court,BLACK,0.0,9994972213.0,55/1()0/1977,Married,2/1/1975,21.0,2393356755,True
19581,536,,A3W00011001,"Mister.....""",Destiny,,Wilson,0,1972,single,Female,,9999288189.0,destiny7@adventure-works.com,900000022,0 ___+,0,Raymond,Washington,Be :&%larus2,9-###8-0-58,Partial College,Skilled Manual,Obrero especializado,Technicien,0,1É,ABCDLane100053sdmj3938vhaflkjgr3749878safhdofha53q9757kjdckERIAU,,2 (mid11) 500 555-01m 95É,1/24/201 2,1-2 Miles,Purple,356$,shithead,26&^54 7995 26OPG02 0286 PO$,Dimentions: 20cm x 10cm x 5µ,198.2^*0.0.2ab,%%%%http s://www.easymoney.in,6.0,5.0,8878 Weatherly Drive,Purple,0.0,9995783751.0,1/30/1986,Single,2/2/1975,22.0,2393356755,True
15389,609,,"A#W000,11, 002",Mist $&&&ress,Eugene,G,Zhang,0,8/14 ++++/1974,m,Female,,9994972213.0,ethan20@adventure-works.com ,900000023,0+,0,Raymond,Washington,"Zi ""{}mbabwe",9-8-0-58###########,Partial College,Skilled Manual,Obrero especializado,Technicien,1,4___only,ABCDLane100054ehai39837fufqudsl59743rlkdsja2387dsfs97rwanrefsaiywbri,,208-555-01+4h3,1/%É9/2012,5-10 Miles,gre en,2 14,shit,@!4062 9{] 745 5032 3616,Dimentions: 6 x 5 x 7¼ m,198.20.0.3!@,ht!!!! tps://www.go zoom.com,7.0,5.0,6899 Holiday Hills,BLACK,1.0,9992257376.0,8/14 ++++/1974,Single,2/3/1975,23.0,2393356755,True
